"","fmin","fminB","CFI","RMSEA","FC.Size","PercentMissing","PatternNumber","NumMissVar","Strength"
"184",0.5016,4.1539,0.8793,0.0964,0.7,"50%"," Minimum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"185",0.746,4.0285,0.8148,0.1175,0.6,"50%"," Minimum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"186",0.9901,3.9343,0.7483,0.1354,0.5,"50%"," Minimum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"187",1.2089,3.8631,0.6871,0.1496,0.4,"50%"," Minimum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"188",1.3896,3.8139,0.6356,0.1604,0.3,"50%"," Minimum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"189",1.519,3.7786,0.598,0.1677,0.2,"50%"," Minimum Missing Pattern"," Two Variables with Missing"," Weak Strength (MAR)"
"190",1e-04,5.5509,1,3e-04,1,"0%"," Minimum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"191",0.1071,5.1431,0.9792,0.0445,0.9,"0%"," Minimum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"192",0.3304,4.8812,0.9323,0.0782,0.8,"0%"," Minimum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"193",0.6033,4.6962,0.8716,0.1057,0.7,"0%"," Minimum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"194",0.8991,4.5597,0.8028,0.129,0.6,"0%"," Minimum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"195",1.2052,4.4573,0.7296,0.1494,0.5,"0%"," Minimum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"196",1.5146,4.3807,0.6543,0.1675,0.4,"0%"," Minimum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"197",1.7912,4.3251,0.5859,0.1821,0.3,"0%"," Minimum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"198",1.9814,4.2872,0.5379,0.1915,0.2,"0%"," Minimum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"199",1e-04,5.1464,1,0,1,"20%"," Minimum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"200",0.0991,4.7856,0.9793,0.0428,0.9,"20%"," Minimum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"201",0.3059,4.5618,0.9329,0.0753,0.8,"20%"," Minimum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"202",0.5585,4.407,0.8733,0.1017,0.7,"20%"," Minimum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
"203",0.8306,4.2925,0.8065,0.124,0.6,"20%"," Minimum Missing Pattern"," Two Variables with Missing","Strong Strength (MAR)"
